,image
32,ISIC_2020_Train_DICOM_corrected/train/ISIC_7402256.dcm
33,ISIC_2020_Train_DICOM_corrected/train/ISIC_4611792.dcm
34,ISIC_2020_Train_DICOM_corrected/train/ISIC_8841738.dcm
35,ISIC_2020_Train_DICOM_corrected/train/ISIC_4022788.dcm
36,ISIC_2020_Train_DICOM_corrected/train/ISIC_1515947.dcm
37,ISIC_2020_Train_DICOM_corrected/train/ISIC_5471848.dcm
38,ISIC_2020_Train_DICOM_corrected/train/ISIC_1642492.dcm
39,ISIC_2020_Train_DICOM_corrected/train/ISIC_5619661.dcm
40,ISIC_2020_Train_DICOM_corrected/train/ISIC_8047872.dcm
41,ISIC_2020_Train_DICOM_corrected/train/ISIC_1962639.dcm
42,ISIC_2020_Train_DICOM_corrected/train/ISIC_8135117.dcm
43,ISIC_2020_Train_DICOM_corrected/train/ISIC_8098872.dcm
44,ISIC_2020_Train_DICOM_corrected/train/ISIC_5618055.dcm
45,ISIC_2020_Train_DICOM_corrected/train/ISIC_2700700.dcm
46,ISIC_2020_Train_DICOM_corrected/train/ISIC_2558940.dcm
47,ISIC_2020_Train_DICOM_corrected/train/ISIC_1368217.dcm
48,ISIC_2020_Train_DICOM_corrected/train/ISIC_2441708.dcm
49,ISIC_2020_Train_DICOM_corrected/train/ISIC_3447958.dcm
50,ISIC_2020_Train_DICOM_corrected/train/ISIC_5960608.dcm
51,ISIC_2020_Train_DICOM_corrected/train/ISIC_1687278.dcm
52,ISIC_2020_Train_DICOM_corrected/train/ISIC_7940108.dcm
53,ISIC_2020_Train_DICOM_corrected/train/ISIC_2755667.dcm
54,ISIC_2020_Train_DICOM_corrected/train/ISIC_8579452.dcm
55,ISIC_2020_Train_DICOM_corrected/train/ISIC_5730636.dcm
56,ISIC_2020_Train_DICOM_corrected/train/ISIC_6639525.dcm
57,ISIC_2020_Train_DICOM_corrected/train/ISIC_1044344.dcm
58,ISIC_2020_Train_DICOM_corrected/train/ISIC_9042282.dcm
59,ISIC_2020_Train_DICOM_corrected/train/ISIC_7249009.dcm
60,ISIC_2020_Train_DICOM_corrected/train/ISIC_5221917.dcm
61,ISIC_2020_Train_DICOM_corrected/train/ISIC_7658276.dcm
62,ISIC_2020_Train_DICOM_corrected/train/ISIC_5754070.dcm
63,ISIC_2020_Train_DICOM_corrected/train/ISIC_7338634.dcm
64,ISIC_2020_Train_DICOM_corrected/train/ISIC_8650269.dcm
65,ISIC_2020_Train_DICOM_corrected/train/ISIC_4282719.dcm
66,ISIC_2020_Train_DICOM_corrected/train/ISIC_6427761.dcm
67,ISIC_2020_Train_DICOM_corrected/train/ISIC_9757654.dcm
68,ISIC_2020_Train_DICOM_corrected/train/ISIC_7151808.dcm
69,ISIC_2020_Train_DICOM_corrected/train/ISIC_3249384.dcm
70,ISIC_2020_Train_DICOM_corrected/train/ISIC_1551323.dcm
71,ISIC_2020_Train_DICOM_corrected/train/ISIC_0410311.dcm
72,ISIC_2020_Train_DICOM_corrected/train/ISIC_7116124.dcm
73,ISIC_2020_Train_DICOM_corrected/train/ISIC_9649587.dcm
74,ISIC_2020_Train_DICOM_corrected/train/ISIC_9849018.dcm
75,ISIC_2020_Train_DICOM_corrected/train/ISIC_5943385.dcm
76,ISIC_2020_Train_DICOM_corrected/train/ISIC_2131962.dcm
77,ISIC_2020_Train_DICOM_corrected/train/ISIC_3698568.dcm
78,ISIC_2020_Train_DICOM_corrected/train/ISIC_1688160.dcm
79,ISIC_2020_Train_DICOM_corrected/train/ISIC_1977026.dcm
80,ISIC_2020_Train_DICOM_corrected/train/ISIC_0789732.dcm
81,ISIC_2020_Train_DICOM_corrected/train/ISIC_8413496.dcm
82,ISIC_2020_Train_DICOM_corrected/train/ISIC_5611035.dcm
83,ISIC_2020_Train_DICOM_corrected/train/ISIC_1864719.dcm
84,ISIC_2020_Train_DICOM_corrected/train/ISIC_2092968.dcm
85,ISIC_2020_Train_DICOM_corrected/train/ISIC_6244896.dcm
86,ISIC_2020_Train_DICOM_corrected/train/ISIC_3636011.dcm
87,ISIC_2020_Train_DICOM_corrected/train/ISIC_5449908.dcm
88,ISIC_2020_Train_DICOM_corrected/train/ISIC_3274103.dcm
89,ISIC_2020_Train_DICOM_corrected/train/ISIC_4382390.dcm
90,ISIC_2020_Train_DICOM_corrected/train/ISIC_4948722.dcm
91,ISIC_2020_Train_DICOM_corrected/train/ISIC_6352994.dcm
92,ISIC_2020_Train_DICOM_corrected/train/ISIC_3084791.dcm
93,ISIC_2020_Train_DICOM_corrected/train/ISIC_7222438.dcm
94,ISIC_2020_Train_DICOM_corrected/train/ISIC_7115108.dcm
95,ISIC_2020_Train_DICOM_corrected/train/ISIC_6731659.dcm
96,ISIC_2020_Train_DICOM_corrected/train/ISIC_1690665.dcm
97,ISIC_2020_Train_DICOM_corrected/train/ISIC_5008478.dcm
98,ISIC_2020_Train_DICOM_corrected/train/ISIC_8666405.dcm
99,ISIC_2020_Train_DICOM_corrected/train/ISIC_9821220.dcm
100,ISIC_2020_Train_DICOM_corrected/train/ISIC_8392088.dcm
101,ISIC_2020_Train_DICOM_corrected/train/ISIC_3189075.dcm
102,ISIC_2020_Train_DICOM_corrected/train/ISIC_4853790.dcm
103,ISIC_2020_Train_DICOM_corrected/train/ISIC_2982357.dcm
104,ISIC_2020_Train_DICOM_corrected/train/ISIC_7009765.dcm
105,ISIC_2020_Train_DICOM_corrected/train/ISIC_9637245.dcm
106,ISIC_2020_Train_DICOM_corrected/train/ISIC_0933075.dcm
107,ISIC_2020_Train_DICOM_corrected/train/ISIC_1384932.dcm
108,ISIC_2020_Train_DICOM_corrected/train/ISIC_2309037.dcm
109,ISIC_2020_Train_DICOM_corrected/train/ISIC_6982406.dcm
110,ISIC_2020_Train_DICOM_corrected/train/ISIC_1131772.dcm
111,ISIC_2020_Train_DICOM_corrected/train/ISIC_5721110.dcm
112,ISIC_2020_Train_DICOM_corrected/train/ISIC_4296456.dcm
113,ISIC_2020_Train_DICOM_corrected/train/ISIC_6292348.dcm
114,ISIC_2020_Train_DICOM_corrected/train/ISIC_3488268.dcm
115,ISIC_2020_Train_DICOM_corrected/train/ISIC_6004886.dcm
116,ISIC_2020_Train_DICOM_corrected/train/ISIC_0655635.dcm
117,ISIC_2020_Train_DICOM_corrected/train/ISIC_7718877.dcm
118,ISIC_2020_Train_DICOM_corrected/train/ISIC_2608471.dcm
119,ISIC_2020_Train_DICOM_corrected/train/ISIC_8442043.dcm
120,ISIC_2020_Train_DICOM_corrected/train/ISIC_9753368.dcm
121,ISIC_2020_Train_DICOM_corrected/train/ISIC_9174738.dcm
122,ISIC_2020_Train_DICOM_corrected/train/ISIC_7876793.dcm
123,ISIC_2020_Train_DICOM_corrected/train/ISIC_5605246.dcm
124,ISIC_2020_Train_DICOM_corrected/train/ISIC_6272993.dcm
125,ISIC_2020_Train_DICOM_corrected/train/ISIC_2872765.dcm
126,ISIC_2020_Train_DICOM_corrected/train/ISIC_3023452.dcm
127,ISIC_2020_Train_DICOM_corrected/train/ISIC_6575298.dcm
128,ISIC_2020_Train_DICOM_corrected/train/ISIC_5531886.dcm
129,ISIC_2020_Train_DICOM_corrected/train/ISIC_1506954.dcm
130,ISIC_2020_Train_DICOM_corrected/train/ISIC_4808298.dcm
131,ISIC_2020_Train_DICOM_corrected/train/ISIC_1246016.dcm
132,ISIC_2020_Train_DICOM_corrected/train/ISIC_1281742.dcm
133,ISIC_2020_Train_DICOM_corrected/train/ISIC_7435292.dcm
134,ISIC_2020_Train_DICOM_corrected/train/ISIC_8293930.dcm
135,ISIC_2020_Train_DICOM_corrected/train/ISIC_4220010.dcm
136,ISIC_2020_Train_DICOM_corrected/train/ISIC_6356803.dcm
137,ISIC_2020_Train_DICOM_corrected/train/ISIC_4191011.dcm
138,ISIC_2020_Train_DICOM_corrected/train/ISIC_5743557.dcm
139,ISIC_2020_Train_DICOM_corrected/train/ISIC_6185493.dcm
140,ISIC_2020_Train_DICOM_corrected/train/ISIC_8981301.dcm
141,ISIC_2020_Train_DICOM_corrected/train/ISIC_6096163.dcm
142,ISIC_2020_Train_DICOM_corrected/train/ISIC_9842026.dcm
143,ISIC_2020_Train_DICOM_corrected/train/ISIC_3046930.dcm
144,ISIC_2020_Train_DICOM_corrected/train/ISIC_4728589.dcm
145,ISIC_2020_Train_DICOM_corrected/train/ISIC_8899738.dcm
146,ISIC_2020_Train_DICOM_corrected/train/ISIC_6847317.dcm
147,ISIC_2020_Train_DICOM_corrected/train/ISIC_7145788.dcm
148,ISIC_2020_Train_DICOM_corrected/train/ISIC_9960855.dcm
149,ISIC_2020_Train_DICOM_corrected/train/ISIC_7625411.dcm
150,ISIC_2020_Train_DICOM_corrected/train/ISIC_6366192.dcm
151,ISIC_2020_Train_DICOM_corrected/train/ISIC_9607252.dcm
152,ISIC_2020_Train_DICOM_corrected/train/ISIC_6126056.dcm
153,ISIC_2020_Train_DICOM_corrected/train/ISIC_4085552.dcm
154,ISIC_2020_Train_DICOM_corrected/train/ISIC_8976747.dcm
155,ISIC_2020_Train_DICOM_corrected/train/ISIC_8397285.dcm
156,ISIC_2020_Train_DICOM_corrected/train/ISIC_4008601.dcm
157,ISIC_2020_Train_DICOM_corrected/train/ISIC_2769835.dcm
158,ISIC_2020_Train_DICOM_corrected/train/ISIC_8753831.dcm
159,ISIC_2020_Train_DICOM_corrected/train/ISIC_9469650.dcm
160,ISIC_2020_Train_DICOM_corrected/train/ISIC_9761658.dcm
161,ISIC_2020_Train_DICOM_corrected/train/ISIC_5564029.dcm
162,ISIC_2020_Train_DICOM_corrected/train/ISIC_8095877.dcm
163,ISIC_2020_Train_DICOM_corrected/train/ISIC_4952820.dcm
164,ISIC_2020_Train_DICOM_corrected/train/ISIC_0455625.dcm
165,ISIC_2020_Train_DICOM_corrected/train/ISIC_0170545.dcm
166,ISIC_2020_Train_DICOM_corrected/train/ISIC_6458249.dcm
167,ISIC_2020_Train_DICOM_corrected/train/ISIC_5652091.dcm
168,ISIC_2020_Train_DICOM_corrected/train/ISIC_7184722.dcm
169,ISIC_2020_Train_DICOM_corrected/train/ISIC_1668346.dcm
170,ISIC_2020_Train_DICOM_corrected/train/ISIC_5811561.dcm
171,ISIC_2020_Train_DICOM_corrected/train/ISIC_4948093.dcm
172,ISIC_2020_Train_DICOM_corrected/train/ISIC_9827882.dcm
173,ISIC_2020_Train_DICOM_corrected/train/ISIC_3633436.dcm
174,ISIC_2020_Train_DICOM_corrected/train/ISIC_1506212.dcm
175,ISIC_2020_Train_DICOM_corrected/train/ISIC_0165273.dcm
176,ISIC_2020_Train_DICOM_corrected/train/ISIC_1864109.dcm
177,ISIC_2020_Train_DICOM_corrected/train/ISIC_4901330.dcm
178,ISIC_2020_Train_DICOM_corrected/train/ISIC_7024593.dcm
179,ISIC_2020_Train_DICOM_corrected/train/ISIC_1548329.dcm
180,ISIC_2020_Train_DICOM_corrected/train/ISIC_3127347.dcm
181,ISIC_2020_Train_DICOM_corrected/train/ISIC_3201945.dcm
182,ISIC_2020_Train_DICOM_corrected/train/ISIC_4082303.dcm
183,ISIC_2020_Train_DICOM_corrected/train/ISIC_5046082.dcm
184,ISIC_2020_Train_DICOM_corrected/train/ISIC_6224915.dcm
185,ISIC_2020_Train_DICOM_corrected/train/ISIC_3258291.dcm
186,ISIC_2020_Train_DICOM_corrected/train/ISIC_3238925.dcm
187,ISIC_2020_Train_DICOM_corrected/train/ISIC_0263916.dcm
188,ISIC_2020_Train_DICOM_corrected/train/ISIC_8596474.dcm
189,ISIC_2020_Train_DICOM_corrected/train/ISIC_8526982.dcm
190,ISIC_2020_Train_DICOM_corrected/train/ISIC_2100445.dcm
191,ISIC_2020_Train_DICOM_corrected/train/ISIC_1919499.dcm
192,ISIC_2020_Train_DICOM_corrected/train/ISIC_4552843.dcm
193,ISIC_2020_Train_DICOM_corrected/train/ISIC_4098233.dcm
194,ISIC_2020_Train_DICOM_corrected/train/ISIC_9559922.dcm
195,ISIC_2020_Train_DICOM_corrected/train/ISIC_8579575.dcm
196,ISIC_2020_Train_DICOM_corrected/train/ISIC_6892199.dcm
197,ISIC_2020_Train_DICOM_corrected/train/ISIC_9844010.dcm
198,ISIC_2020_Train_DICOM_corrected/train/ISIC_4786942.dcm
199,ISIC_2020_Train_DICOM_corrected/train/ISIC_4935711.dcm
200,ISIC_2020_Train_DICOM_corrected/train/ISIC_5490251.dcm
201,ISIC_2020_Train_DICOM_corrected/train/ISIC_6869122.dcm
202,ISIC_2020_Train_DICOM_corrected/train/ISIC_7807526.dcm
203,ISIC_2020_Train_DICOM_corrected/train/ISIC_7124273.dcm
204,ISIC_2020_Train_DICOM_corrected/train/ISIC_2457024.dcm
205,ISIC_2020_Train_DICOM_corrected/train/ISIC_1664381.dcm
206,ISIC_2020_Train_DICOM_corrected/train/ISIC_5515734.dcm
207,ISIC_2020_Train_DICOM_corrected/train/ISIC_8148759.dcm
208,ISIC_2020_Train_DICOM_corrected/train/ISIC_8773478.dcm
209,ISIC_2020_Train_DICOM_corrected/train/ISIC_8672553.dcm
210,ISIC_2020_Train_DICOM_corrected/train/ISIC_8824464.dcm
211,ISIC_2020_Train_DICOM_corrected/train/ISIC_8856781.dcm
212,ISIC_2020_Train_DICOM_corrected/train/ISIC_6470709.dcm
213,ISIC_2020_Train_DICOM_corrected/train/ISIC_5765854.dcm
214,ISIC_2020_Train_DICOM_corrected/train/ISIC_0363251.dcm
215,ISIC_2020_Train_DICOM_corrected/train/ISIC_9901847.dcm
216,ISIC_2020_Train_DICOM_corrected/train/ISIC_8252969.dcm
217,ISIC_2020_Train_DICOM_corrected/train/ISIC_8285008.dcm
218,ISIC_2020_Train_DICOM_corrected/train/ISIC_2784986.dcm
219,ISIC_2020_Train_DICOM_corrected/train/ISIC_2282946.dcm
220,ISIC_2020_Train_DICOM_corrected/train/ISIC_4270126.dcm
221,ISIC_2020_Train_DICOM_corrected/train/ISIC_0098784.dcm
222,ISIC_2020_Train_DICOM_corrected/train/ISIC_8835915.dcm
223,ISIC_2020_Train_DICOM_corrected/train/ISIC_3809013.dcm
224,ISIC_2020_Train_DICOM_corrected/train/ISIC_5787620.dcm
225,ISIC_2020_Train_DICOM_corrected/train/ISIC_1494033.dcm
226,ISIC_2020_Train_DICOM_corrected/train/ISIC_0681666.dcm
227,ISIC_2020_Train_DICOM_corrected/train/ISIC_1767706.dcm
228,ISIC_2020_Train_DICOM_corrected/train/ISIC_5876289.dcm
229,ISIC_2020_Train_DICOM_corrected/train/ISIC_2215276.dcm
230,ISIC_2020_Train_DICOM_corrected/train/ISIC_5746059.dcm
231,ISIC_2020_Train_DICOM_corrected/train/ISIC_9326674.dcm
232,ISIC_2020_Train_DICOM_corrected/train/ISIC_4605737.dcm
233,ISIC_2020_Train_DICOM_corrected/train/ISIC_7318810.dcm
234,ISIC_2020_Train_DICOM_corrected/train/ISIC_0712270.dcm
235,ISIC_2020_Train_DICOM_corrected/train/ISIC_2031794.dcm
236,ISIC_2020_Train_DICOM_corrected/train/ISIC_0228713.dcm
237,ISIC_2020_Train_DICOM_corrected/train/ISIC_2502558.dcm
238,ISIC_2020_Train_DICOM_corrected/train/ISIC_1740379.dcm
239,ISIC_2020_Train_DICOM_corrected/train/ISIC_1797795.dcm
240,ISIC_2020_Train_DICOM_corrected/train/ISIC_7738761.dcm
241,ISIC_2020_Train_DICOM_corrected/train/ISIC_4227624.dcm
242,ISIC_2020_Train_DICOM_corrected/train/ISIC_9708346.dcm
243,ISIC_2020_Train_DICOM_corrected/train/ISIC_8928041.dcm
244,ISIC_2020_Train_DICOM_corrected/train/ISIC_5072824.dcm
245,ISIC_2020_Train_DICOM_corrected/train/ISIC_0331767.dcm
246,ISIC_2020_Train_DICOM_corrected/train/ISIC_9559293.dcm
247,ISIC_2020_Train_DICOM_corrected/train/ISIC_1790960.dcm
248,ISIC_2020_Train_DICOM_corrected/train/ISIC_3228711.dcm
249,ISIC_2020_Train_DICOM_corrected/train/ISIC_4961292.dcm
250,ISIC_2020_Train_DICOM_corrected/train/ISIC_8466805.dcm
251,ISIC_2020_Train_DICOM_corrected/train/ISIC_8170849.dcm
252,ISIC_2020_Train_DICOM_corrected/train/ISIC_7735711.dcm
253,ISIC_2020_Train_DICOM_corrected/train/ISIC_2990155.dcm
254,ISIC_2020_Train_DICOM_corrected/train/ISIC_9227253.dcm
255,ISIC_2020_Train_DICOM_corrected/train/ISIC_1102766.dcm
256,ISIC_2020_Train_DICOM_corrected/train/ISIC_6119830.dcm
257,ISIC_2020_Train_DICOM_corrected/train/ISIC_5859840.dcm
258,ISIC_2020_Train_DICOM_corrected/train/ISIC_1993374.dcm
259,ISIC_2020_Train_DICOM_corrected/train/ISIC_5139028.dcm
260,ISIC_2020_Train_DICOM_corrected/train/ISIC_5942756.dcm
261,ISIC_2020_Train_DICOM_corrected/train/ISIC_5673518.dcm
262,ISIC_2020_Train_DICOM_corrected/train/ISIC_4722021.dcm
263,ISIC_2020_Train_DICOM_corrected/train/ISIC_9085565.dcm
264,ISIC_2020_Train_DICOM_corrected/train/ISIC_4108630.dcm
265,ISIC_2020_Train_DICOM_corrected/train/ISIC_1020208.dcm
266,ISIC_2020_Train_DICOM_corrected/train/ISIC_2366172.dcm
267,ISIC_2020_Train_DICOM_corrected/train/ISIC_3317877.dcm
268,ISIC_2020_Train_DICOM_corrected/train/ISIC_9808736.dcm
269,ISIC_2020_Train_DICOM_corrected/train/ISIC_9454024.dcm
270,ISIC_2020_Train_DICOM_corrected/train/ISIC_8414609.dcm
271,ISIC_2020_Train_DICOM_corrected/train/ISIC_5449507.dcm
272,ISIC_2020_Train_DICOM_corrected/train/ISIC_5278844.dcm
273,ISIC_2020_Train_DICOM_corrected/train/ISIC_2560645.dcm
274,ISIC_2020_Train_DICOM_corrected/train/ISIC_9719922.dcm
275,ISIC_2020_Train_DICOM_corrected/train/ISIC_5657661.dcm
276,ISIC_2020_Train_DICOM_corrected/train/ISIC_0700213.dcm
277,ISIC_2020_Train_DICOM_corrected/train/ISIC_9242891.dcm
278,ISIC_2020_Train_DICOM_corrected/train/ISIC_8957490.dcm
279,ISIC_2020_Train_DICOM_corrected/train/ISIC_9231263.dcm
280,ISIC_2020_Train_DICOM_corrected/train/ISIC_7464965.dcm
281,ISIC_2020_Train_DICOM_corrected/train/ISIC_8584748.dcm
282,ISIC_2020_Train_DICOM_corrected/train/ISIC_2583592.dcm
283,ISIC_2020_Train_DICOM_corrected/train/ISIC_2571343.dcm
284,ISIC_2020_Train_DICOM_corrected/train/ISIC_4312804.dcm
285,ISIC_2020_Train_DICOM_corrected/train/ISIC_7168122.dcm
286,ISIC_2020_Train_DICOM_corrected/train/ISIC_2391627.dcm
287,ISIC_2020_Train_DICOM_corrected/train/ISIC_9888521.dcm
288,ISIC_2020_Train_DICOM_corrected/train/ISIC_7230027.dcm
289,ISIC_2020_Train_DICOM_corrected/train/ISIC_6272249.dcm
290,ISIC_2020_Train_DICOM_corrected/train/ISIC_2827098.dcm
291,ISIC_2020_Train_DICOM_corrected/train/ISIC_7628175.dcm
292,ISIC_2020_Train_DICOM_corrected/train/ISIC_2484404.dcm
293,ISIC_2020_Train_DICOM_corrected/train/ISIC_5777697.dcm
294,ISIC_2020_Train_DICOM_corrected/train/ISIC_3105324.dcm
295,ISIC_2020_Train_DICOM_corrected/train/ISIC_7140778.dcm
296,ISIC_2020_Train_DICOM_corrected/train/ISIC_8004013.dcm
297,ISIC_2020_Train_DICOM_corrected/train/ISIC_9974613.dcm
298,ISIC_2020_Train_DICOM_corrected/train/ISIC_1075054.dcm
299,ISIC_2020_Train_DICOM_corrected/train/ISIC_6805527.dcm
300,ISIC_2020_Train_DICOM_corrected/train/ISIC_5051449.dcm
301,ISIC_2020_Train_DICOM_corrected/train/ISIC_0658225.dcm
302,ISIC_2020_Train_DICOM_corrected/train/ISIC_9977580.dcm
303,ISIC_2020_Train_DICOM_corrected/train/ISIC_2370610.dcm
304,ISIC_2020_Train_DICOM_corrected/train/ISIC_1627019.dcm
305,ISIC_2020_Train_DICOM_corrected/train/ISIC_0911989.dcm
306,ISIC_2020_Train_DICOM_corrected/train/ISIC_3319573.dcm
307,ISIC_2020_Train_DICOM_corrected/train/ISIC_0334227.dcm
308,ISIC_2020_Train_DICOM_corrected/train/ISIC_3160224.dcm
309,ISIC_2020_Train_DICOM_corrected/train/ISIC_2659758.dcm
310,ISIC_2020_Train_DICOM_corrected/train/ISIC_5060576.dcm
311,ISIC_2020_Train_DICOM_corrected/train/ISIC_2373760.dcm
312,ISIC_2020_Train_DICOM_corrected/train/ISIC_3957270.dcm
313,ISIC_2020_Train_DICOM_corrected/train/ISIC_1645587.dcm
314,ISIC_2020_Train_DICOM_corrected/train/ISIC_9436034.dcm
315,ISIC_2020_Train_DICOM_corrected/train/ISIC_2567644.dcm
316,ISIC_2020_Train_DICOM_corrected/train/ISIC_5651106.dcm
317,ISIC_2020_Train_DICOM_corrected/train/ISIC_7577778.dcm
318,ISIC_2020_Train_DICOM_corrected/train/ISIC_8343285.dcm
319,ISIC_2020_Train_DICOM_corrected/train/ISIC_7234522.dcm
320,ISIC_2020_Train_DICOM_corrected/train/ISIC_7310249.dcm
321,ISIC_2020_Train_DICOM_corrected/train/ISIC_6421586.dcm
322,ISIC_2020_Train_DICOM_corrected/train/ISIC_5104054.dcm
323,ISIC_2020_Train_DICOM_corrected/train/ISIC_5852089.dcm
324,ISIC_2020_Train_DICOM_corrected/train/ISIC_4072730.dcm
325,ISIC_2020_Train_DICOM_corrected/train/ISIC_8754461.dcm
326,ISIC_2020_Train_DICOM_corrected/train/ISIC_9927102.dcm
327,ISIC_2020_Train_DICOM_corrected/train/ISIC_0860384.dcm
328,ISIC_2020_Train_DICOM_corrected/train/ISIC_5589782.dcm
329,ISIC_2020_Train_DICOM_corrected/train/ISIC_2345768.dcm
330,ISIC_2020_Train_DICOM_corrected/train/ISIC_8970543.dcm
331,ISIC_2020_Train_DICOM_corrected/train/ISIC_0741694.dcm
332,ISIC_2020_Train_DICOM_corrected/train/ISIC_7249063.dcm
333,ISIC_2020_Train_DICOM_corrected/train/ISIC_8225843.dcm
334,ISIC_2020_Train_DICOM_corrected/train/ISIC_5028878.dcm
335,ISIC_2020_Train_DICOM_corrected/train/ISIC_6785041.dcm
336,ISIC_2020_Train_DICOM_corrected/train/ISIC_3908910.dcm
337,ISIC_2020_Train_DICOM_corrected/train/ISIC_3183653.dcm
338,ISIC_2020_Train_DICOM_corrected/train/ISIC_8816494.dcm
339,ISIC_2020_Train_DICOM_corrected/train/ISIC_2747136.dcm
340,ISIC_2020_Train_DICOM_corrected/train/ISIC_6593073.dcm
341,ISIC_2020_Train_DICOM_corrected/train/ISIC_2338297.dcm
342,ISIC_2020_Train_DICOM_corrected/train/ISIC_6781665.dcm
343,ISIC_2020_Train_DICOM_corrected/train/ISIC_7356842.dcm
344,ISIC_2020_Train_DICOM_corrected/train/ISIC_8669067.dcm
345,ISIC_2020_Train_DICOM_corrected/train/ISIC_6673956.dcm
346,ISIC_2020_Train_DICOM_corrected/train/ISIC_3360137.dcm
347,ISIC_2020_Train_DICOM_corrected/train/ISIC_9749362.dcm
348,ISIC_2020_Train_DICOM_corrected/train/ISIC_5468245.dcm
349,ISIC_2020_Train_DICOM_corrected/train/ISIC_9144769.dcm
350,ISIC_2020_Train_DICOM_corrected/train/ISIC_2358170.dcm
351,ISIC_2020_Train_DICOM_corrected/train/ISIC_7450481.dcm
352,ISIC_2020_Train_DICOM_corrected/train/ISIC_0651114.dcm
353,ISIC_2020_Train_DICOM_corrected/train/ISIC_2379723.dcm
354,ISIC_2020_Train_DICOM_corrected/train/ISIC_2365285.dcm
355,ISIC_2020_Train_DICOM_corrected/train/ISIC_7486266.dcm
356,ISIC_2020_Train_DICOM_corrected/train/ISIC_6222956.dcm
357,ISIC_2020_Train_DICOM_corrected/train/ISIC_3162794.dcm
358,ISIC_2020_Train_DICOM_corrected/train/ISIC_6305501.dcm
359,ISIC_2020_Train_DICOM_corrected/train/ISIC_3991670.dcm
360,ISIC_2020_Train_DICOM_corrected/train/ISIC_5688720.dcm
361,ISIC_2020_Train_DICOM_corrected/train/ISIC_3395743.dcm
362,ISIC_2020_Train_DICOM_corrected/train/ISIC_0800882.dcm
363,ISIC_2020_Train_DICOM_corrected/train/ISIC_3173734.dcm
364,ISIC_2020_Train_DICOM_corrected/train/ISIC_0363576.dcm
365,ISIC_2020_Train_DICOM_corrected/train/ISIC_4608323.dcm
366,ISIC_2020_Train_DICOM_corrected/train/ISIC_1544093.dcm
367,ISIC_2020_Train_DICOM_corrected/train/ISIC_2313297.dcm
368,ISIC_2020_Train_DICOM_corrected/train/ISIC_0841234.dcm
369,ISIC_2020_Train_DICOM_corrected/train/ISIC_9080990.dcm
370,ISIC_2020_Train_DICOM_corrected/train/ISIC_8569205.dcm
371,ISIC_2020_Train_DICOM_corrected/train/ISIC_9649225.dcm
372,ISIC_2020_Train_DICOM_corrected/train/ISIC_5629697.dcm
373,ISIC_2020_Train_DICOM_corrected/train/ISIC_3897881.dcm
374,ISIC_2020_Train_DICOM_corrected/train/ISIC_3084322.dcm
375,ISIC_2020_Train_DICOM_corrected/train/ISIC_1508162.dcm
376,ISIC_2020_Train_DICOM_corrected/train/ISIC_8053586.dcm
377,ISIC_2020_Train_DICOM_corrected/train/ISIC_6753364.dcm
